"Udlæst fra bilstatistik.dk, af Henrik Sejersen, DBI IT A/S, den 24-01-2024 15:07:03",,,,,,,,,,,,,,,,,,,,,,,,,,
Data i denne fil tilhører DBI IT A/S og er udelukkende til intern brug hos DBI IT A/S,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr. model,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyregistreringer,,,,,,,,,,,,,,,,,,,,,,,,,,
Periode: Fra 01-01-2013 til 31-12-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,,,,,,,,,,,,,,,,,,,,,,,,,,
Personbiler,,,,,,,,,,,,,,,,,,,,,,,,,,
Drivkraft: El (BEV),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,Total,
Nr.,Mærke,Model,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel
,Total for rapport,,534,100.00%,"1,567",100.00%,"4,311",100.00%,"1,314",100.00%,699,100.00%,"1,545",100.00%,"5,520",100.00%,"14,227",100.00%,"24,905",100.00%,"30,821",100.00%,"62,726",100.00%,"148,169",100.00%
72,Italcar,L4S,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,0,0.00%,0,0.00%,1,0.00%
73,JAC,e-JS4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,85,0.14%,85,0.06%
74,Jaguar,I-Pace,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,0.78%,96,1.74%,123,0.86%,43,0.17%,14,0.05%,4,0.01%,292,0.20%
75,Jeep,Avenger,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,81,0.13%,81,0.05%
76,Jia Ji,S45,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,0.02%,15,0.01%
77,Jiayuan,City Spirit,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,1,0.00%
78,Jiayuan,Eidola,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.01%,3,0.01%,1,0.00%,6,0.00%
79,Jiayuan,JY7222,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.06%,2,0.04%,1,0.01%,0,0.00%,0,0.00%,0,0.00%,4,0.00%
80,Jinma,J2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,1,0.00%,0,0.00%,2,0.00%
81,John Deere,Gator,0,0.00%,1,0.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
82,Kia,EV6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,623,2.50%,800,2.60%,817,1.30%,"2,240",1.51%
83,Kia,EV9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,93,0.15%,93,0.06%
84,Kia,Niro,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,146,2.64%,834,5.86%,986,3.96%,690,2.24%,616,0.98%,"3,272",2.21%
85,Kia,Soul,0,0.00%,0,0.00%,10,0.23%,18,1.37%,9,1.29%,4,0.26%,41,0.74%,42,0.30%,62,0.25%,55,0.18%,3,0.00%,244,0.16%
86,Lexus,RZ,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,0.02%,14,0.01%
87,Lexus,UX,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.02%,16,0.05%,0,0.00%,21,0.01%
